,Training  number of attempts,Test FALSE,Test TRUE
s1000,50,25,23
s1001,84,18,30
s1002,74,24,24
s1003,94,24,24
s1004,89,25,23
s1005,28,2,46
s1006,58,22,26
s1008,71,34,14
s1009,76,6,42
s1010,54,20,28
s1011,52,23,25
s1012,180,26,22
s1013,48,19,29
s1014,50,25,23
s1015,56,17,31
s1016,50,19,29
s1017,42,2,46
s1018,64,22,26
s1019,55,28,20
s1020,79,1,47
s1021,37,0,48
s1022,101,23,25
s1023,70,23,25
s1024,62,22,26
s1025,98,29,19
s1026,75,32,16
s1028,84,14,34
s1029,72,21,27
s1030,65,26,22
s1031,69,18,30
s1032,71,26,22
s1033,62,32,16
s1034,46,45,3
s1035,84,23,25
s1037,135,17,31
s1040,44,2,46
s1041,59,0,48
s1042,28,0,48
s1044,24,0,48
s1045,26,0,48
s940,80,23,25
s941,35,0,48
s942,66,22,26
s943,74,22,26
s944,105,27,21
s945,60,28,20
s946,73,26,22
s947,72,19,29
s948,52,24,24
s949,50,0,48
s950,59,25,23
s951,36,3,45
s952,59,29,19
s953,32,0,48
s954,67,21,27
s955,79,21,27
s956,51,1,47
s957,68,22,26
s958,84,21,27
s959,72,21,27
s960,39,0,48
s961,69,0,48
s962,74,21,27
s963,76,21,27
s964,44,24,24
s965,70,22,26
s966,29,0,48
s967,63,27,21
s968,44,4,44
s969,53,26,22
s970,44,25,23
s971,116,24,24
s972,31,3,45
s973,122,32,16
s974,32,0,48
s976,78,28,20
s977,80,31,17
s978,74,3,45
s979,55,24,24
s980,56,21,27
s981,55,25,23
s982,116,1,47
s983,27,1,47
s984,92,23,25
s985,98,25,23
s987,93,22,26
s988,41,1,47
s989,94,23,25
s990,42,23,25
s991,84,1,47
s992,85,25,23
s993,56,0,48
s995,61,28,20
s996,54,25,23
s997,52,27,21
s998,50,25,23
s999,86,26,22