subject,subject.gender,subject.age,FALSE in test,TRUE in test,Training  number of attempts
s1000,Female,27,25,23,50
s1001,Female,24,18,30,84
s1002,Female,55,24,24,74
s1003,Female,26,24,24,94
s1004,Male,NA,25,23,89
s1005,Male,63,2,46,28
s1006,Female,54,22,26,58
s1008,Male,26,34,14,71
s1009,Female,21,6,42,76
s1010,Female,30,20,28,54
s1011,Female,39,23,25,52
s1012,Female,20,26,22,180
s1013,Female,32,19,29,48
s1014,Female,29,25,23,50
s1015,Female,31,17,31,56
s1016,Male,33,19,29,50
s1017,Female,28,2,46,42
s1018,Male,28,22,26,64
s1019,Male,25,28,20,55
s1020,Female,50,1,47,79
s1021,Male,38,,48,37
s1022,Female,58,23,25,101
s1023,Male,40,23,25,70
s1024,Female,38,22,26,62
s1025,Female,30,29,19,98
s1026,Male,24,32,16,75
s1028,Female,24,14,34,84
s1029,Male,25,21,27,72
s1030,Female,24,26,22,65
s1031,Female,48,18,30,69
s1032,Male,29,26,22,71
s1033,Male,44,32,16,62
s1034,Male,25,45,3,46
s1035,Female,27,23,25,84
s1037,Male,42,17,31,135
s1040,Female,34,2,46,44
s1041,Male,52,,48,59
s1042,Male,38,,48,28
s1044,Female,46,,48,24
s1045,Male,55,,48,26
s940,Male,32,23,25,80
s941,Male,30,,48,35
s942,Male,39,22,26,66
s943,Male,27,22,26,74
s944,Male,34,27,21,105
s945,Male,26,28,20,60
s946,Male,41,26,22,73
s947,Female,42,19,29,72
s948,Male,NA,24,24,52
s949,Female,30,,48,50
s950,Female,44,25,23,59
s951,Male,26,3,45,36
s952,Male,23,29,19,59
s953,Male,33,,48,32
s954,Male,33,21,27,67
s955,Male,22,21,27,79
s956,Female,28,1,47,51
s957,Male,29,22,26,68
s958,Female,28,21,27,84
s959,Female,30,21,27,72
s960,Female,23,,48,39
s961,Female,29,,48,69
s962,Male,32,21,27,74
s963,Male,26,21,27,76
s964,Male,28,24,24,44
s965,Female,26,22,26,70
s966,Male,32,,48,29
s967,Female,39,27,21,63
s968,Male,28,4,44,44
s969,Male,28,26,22,53
s970,Female,25,25,23,44
s971,Female,35,24,24,116
s972,Female,40,3,45,31
s973,Male,30,32,16,122
s974,Male,42,,48,32
s976,Female,27,28,20,78
s977,Male,24,31,17,80
s978,Female,35,3,45,74
s979,Male,38,24,24,55
s980,Male,25,21,27,56
s981,Female,20,25,23,55
s982,Male,44,1,47,116
s983,Male,40,1,47,27
s984,Female,36,23,25,92
s985,Male,40,25,23,98
s987,Male,30,22,26,93
s988,Female,32,1,47,41
s989,Male,42,23,25,94
s990,Male,29,23,25,42
s991,Male,65,1,47,84
s992,Female,25,25,23,85
s993,Female,41,,48,56
s995,Female,26,28,20,61
s996,Female,35,25,23,54
s997,Female,22,27,21,52
s998,Female,29,25,23,50
s999,Male,35,26,22,86